DATE TIME IGNORE IGNORE ACCEPTED-FAILED IGNORE IGNORE USER-TYPE USERNAME IGNORE IP-ADDRESS IGNORE PORT IGNORE
Apr-14 14:46:01 app-1 sshd[5738]: Accepted password for valid_user user1 from 65.195.182.120 port 57897 ssh2
Apr-14 14:51:05 app-1 sshd[5816]: Accepted password for valid_user user3 from 65.195.182.120 port 52414 ssh2
Apr-15 12:02:55 app-1 sshd[9418]: Accepted password for valid_user user1 from 208.80.69.74 port 33553 ssh2
Apr-15 14:43:56 app-1 sshd[10122]: Accepted password for valid_user user1 from 208.80.69.74 port 33777 ssh2
Apr-15 14:47:52 app-1 sshd[10174]: Failed password for valid_user user1 from 208.80.69.74 port 33737 ssh2
Apr-15 14:47:53 app-1 sshd[10174]: Accepted password for valid_user user1 from 208.80.69.74 port 33737 ssh2
Apr-15 19:48:38 app-1 sshd[12230]: Accepted password for valid_user user1 from 76.191.195.140 port 33880 ssh2
Apr-15 20:19:03 app-1 sshd[12687]: Accepted password for valid_user user1 from 76.191.195.140 port 38422 ssh2
Apr-15 20:29:16 app-1 sshd[12813]: Accepted password for valid_user user1 from 76.191.195.140 port 39747 ssh2
Apr-16 09:35:19 app-1 sshd[15290]: Accepted password for valid_user user1 from 76.191.195.140 port 33041 ssh2
Apr-18 18:07:35 app-1 sshd[5152]: Accepted password for valid_user user3 from 10.0.1.2 port 49576 ssh2
Apr-18 18:08:46 app-1 sshd[5173]: Accepted password for valid_user user3 from 10.0.1.2 port 49587 ssh2
Apr-18 18:22:09 app-1 sshd[5266]: Failed password for valid_user root from 61.151.246.140 port 52434 ssh2
Apr-18 18:22:13 app-1 sshd[5268]: Failed password for valid_user root from 61.151.246.140 port 52641 ssh2
Apr-18 18:22:17 app-1 sshd[5270]: Failed password for valid_user root from 61.151.246.140 port 52872 ssh2
Apr-18 18:22:20 app-1 sshd[5272]: Failed password for valid_user root from 61.151.246.140 port 39140 ssh2
Apr-18 18:22:24 app-1 sshd[5274]: Failed password for valid_user root from 61.151.246.140 port 39387 ssh2
Apr-18 18:22:28 app-1 sshd[5276]: Failed password for valid_user root from 61.151.246.140 port 39688 ssh2
Apr-18 18:22:32 app-1 sshd[5278]: Failed password for valid_user root from 61.151.246.140 port 39961 ssh2
Apr-18 18:22:36 app-1 sshd[5280]: Failed password for valid_user root from 61.151.246.140 port 40285 ssh2
Apr-18 18:22:39 app-1 sshd[5282]: Failed password for valid_user root from 61.151.246.140 port 40578 ssh2
Apr-18 18:22:43 app-1 sshd[5284]: Failed password for valid_user root from 61.151.246.140 port 40866 ssh2
Apr-18 18:22:47 app-1 sshd[5286]: Failed password for valid_user root from 61.151.246.140 port 41178 ssh2
Apr-18 18:22:51 app-1 sshd[5288]: Failed password for valid_user root from 61.151.246.140 port 41475 ssh2
Apr-18 18:22:55 app-1 sshd[5290]: Failed password for valid_user root from 61.151.246.140 port 41764 ssh2
Apr-18 18:29:30 app-1 sshd[5302]: Accepted password for valid_user user3 from 10.0.1.4 port 61340 ssh2
Apr-18 20:35:34 app-1 sshd[5614]: Accepted password for valid_user user3 from 10.0.1.4 port 61902 ssh2
Apr-18 21:51:56 app-1 sshd[5836]: Failed password for valid_user user3 from 10.0.1.4 port 62023 ssh2
Apr-18 21:52:01 app-1 sshd[5836]: Failed password for valid_user user3 from 10.0.1.4 port 62023 ssh2
Apr-18 21:52:03 app-1 sshd[5836]: Accepted password for valid_user user3 from 10.0.1.4 port 62023 ssh2
Apr-18 21:53:28 app-1 sshd[5856]: Accepted password for valid_user user3 from 10.0.1.4 port 62027 ssh2
Apr-19 04:32:58 app-1 sshd[6887]: Failed password for valid_user root from 203.81.226.86 port 48638 ssh2
Apr-19 04:33:03 app-1 sshd[6889]: Failed password for valid_user root from 203.81.226.86 port 48998 ssh2
Apr-19 04:33:08 app-1 sshd[6891]: Failed password for valid_user root from 203.81.226.86 port 49421 ssh2
Apr-19 04:33:13 app-1 sshd[6893]: Failed password for valid_user root from 203.81.226.86 port 49830 ssh2
Apr-19 04:33:18 app-1 sshd[6895]: Failed password for valid_user root from 203.81.226.86 port 50255 ssh2
Apr-19 04:33:23 app-1 sshd[6897]: Failed password for valid_user root from 203.81.226.86 port 50643 ssh2
Apr-19 04:33:28 app-1 sshd[6899]: Failed password for valid_user root from 203.81.226.86 port 51070 ssh2
Apr-19 04:33:33 app-1 sshd[6901]: Failed password for valid_user root from 203.81.226.86 port 43859 ssh2
Apr-19 04:33:38 app-1 sshd[6903]: Failed password for valid_user root from 203.81.226.86 port 44231 ssh2
Apr-19 04:33:44 app-1 sshd[6905]: Failed password for valid_user root from 203.81.226.86 port 44665 ssh2
Apr-19 04:33:50 app-1 sshd[6907]: Failed password for valid_user root from 203.81.226.86 port 45212 ssh2
Apr-19 04:33:55 app-1 sshd[6909]: Failed password for valid_user root from 203.81.226.86 port 45664 ssh2
Apr-19 04:34:00 app-1 sshd[6911]: Failed password for valid_user root from 203.81.226.86 port 46055 ssh2
Apr-19 04:34:04 app-1 sshd[6913]: Failed password for valid_user root from 203.81.226.86 port 46450 ssh2
Apr-19 04:34:09 app-1 sshd[6916]: Failed password for valid_user root from 203.81.226.86 port 46815 ssh2
Apr-19 04:34:14 app-1 sshd[6918]: Failed password for valid_user root from 203.81.226.86 port 47162 ssh2
Apr-19 04:34:20 app-1 sshd[6920]: Failed password for valid_user root from 203.81.226.86 port 47599 ssh2
Apr-19 04:34:26 app-1 sshd[6922]: Failed password for valid_user root from 203.81.226.86 port 48077 ssh2
Apr-19 04:34:31 app-1 sshd[6924]: Failed password for valid_user root from 203.81.226.86 port 48521 ssh2
Apr-19 04:34:36 app-1 sshd[6926]: Failed password for valid_user root from 203.81.226.86 port 48940 ssh2
Apr-19 04:34:41 app-1 sshd[6928]: Failed password for valid_user root from 203.81.226.86 port 49354 ssh2
Apr-19 04:34:45 app-1 sshd[6930]: Failed password for valid_user root from 203.81.226.86 port 49737 ssh2
Apr-19 04:34:50 app-1 sshd[6932]: Failed password for valid_user root from 203.81.226.86 port 50117 ssh2
Apr-19 04:34:56 app-1 sshd[6934]: Failed password for valid_user root from 203.81.226.86 port 50514 ssh2
Apr-19 04:35:00 app-1 sshd[6936]: Failed password for valid_user root from 203.81.226.86 port 50949 ssh2
Apr-19 04:35:05 app-1 sshd[6938]: Failed password for valid_user root from 203.81.226.86 port 51310 ssh2
Apr-19 04:35:09 app-1 sshd[6940]: Failed password for valid_user root from 203.81.226.86 port 51633 ssh2
Apr-19 04:35:15 app-1 sshd[6942]: Failed password for valid_user root from 203.81.226.86 port 52041 ssh2
Apr-19 04:35:20 app-1 sshd[6944]: Failed password for valid_user root from 203.81.226.86 port 52410 ssh2
Apr-19 04:35:25 app-1 sshd[6946]: Failed password for valid_user root from 203.81.226.86 port 52845 ssh2
Apr-19 04:35:30 app-1 sshd[6948]: Failed password for valid_user root from 203.81.226.86 port 53215 ssh2
Apr-19 04:35:35 app-1 sshd[6950]: Failed password for valid_user root from 203.81.226.86 port 53583 ssh2
Apr-19 04:35:39 app-1 sshd[6952]: Failed password for valid_user root from 203.81.226.86 port 53977 ssh2
Apr-19 04:35:46 app-1 sshd[6954]: Failed password for valid_user root from 203.81.226.86 port 54301 ssh2
Apr-19 04:35:51 app-1 sshd[6956]: Failed password for valid_user root from 203.81.226.86 port 54887 ssh2
Apr-19 04:35:56 app-1 sshd[6958]: Failed password for valid_user root from 203.81.226.86 port 55222 ssh2
Apr-19 04:36:00 app-1 sshd[6960]: Failed password for valid_user root from 203.81.226.86 port 55601 ssh2
Apr-19 04:36:05 app-1 sshd[6962]: Failed password for valid_user root from 203.81.226.86 port 55935 ssh2
Apr-19 04:36:10 app-1 sshd[6974]: Failed password for valid_user root from 203.81.226.86 port 56322 ssh2
Apr-19 04:36:14 app-1 sshd[6976]: Failed password for valid_user root from 203.81.226.86 port 56698 ssh2
Apr-19 04:36:19 app-1 sshd[6978]: Failed password for valid_user root from 203.81.226.86 port 56995 ssh2
Apr-19 04:36:24 app-1 sshd[6980]: Failed password for valid_user root from 203.81.226.86 port 57349 ssh2
Apr-19 04:36:29 app-1 sshd[6982]: Failed password for valid_user root from 203.81.226.86 port 57728 ssh2
Apr-19 04:36:33 app-1 sshd[6984]: Failed password for valid_user root from 203.81.226.86 port 58104 ssh2
Apr-19 04:36:38 app-1 sshd[6986]: Failed password for valid_user root from 203.81.226.86 port 58431 ssh2
Apr-19 04:36:43 app-1 sshd[6988]: Failed password for valid_user root from 203.81.226.86 port 58778 ssh2
Apr-19 04:36:51 app-1 sshd[6990]: Failed password for invalid_user tomcat from 203.81.226.86 port 59207 ssh2
Apr-19 04:36:56 app-1 sshd[6992]: Failed password for valid_user root from 203.81.226.86 port 59796 ssh2
Apr-19 04:37:00 app-1 sshd[6994]: Failed password for valid_user root from 203.81.226.86 port 60169 ssh2
Apr-19 04:37:05 app-1 sshd[6996]: Failed password for valid_user root from 203.81.226.86 port 60527 ssh2
Apr-19 04:37:09 app-1 sshd[6998]: Failed password for valid_user root from 203.81.226.86 port 60863 ssh2
Apr-19 04:37:15 app-1 sshd[7000]: Failed password for valid_user root from 203.81.226.86 port 32945 ssh2
Apr-19 04:37:19 app-1 sshd[7002]: Failed password for valid_user root from 203.81.226.86 port 33336 ssh2
Apr-19 04:37:24 app-1 sshd[7004]: Failed password for valid_user root from 203.81.226.86 port 33730 ssh2
Apr-19 04:37:28 app-1 sshd[7006]: Failed password for valid_user root from 203.81.226.86 port 34074 ssh2
Apr-19 04:37:33 app-1 sshd[7008]: Failed password for valid_user root from 203.81.226.86 port 34420 ssh2
Apr-19 04:37:38 app-1 sshd[7010]: Failed password for valid_user root from 203.81.226.86 port 34771 ssh2
Apr-19 04:37:42 app-1 sshd[7012]: Failed password for valid_user root from 203.81.226.86 port 35155 ssh2
Apr-19 04:37:47 app-1 sshd[7014]: Failed password for valid_user root from 203.81.226.86 port 35489 ssh2
Apr-19 04:37:52 app-1 sshd[7016]: Failed password for valid_user root from 203.81.226.86 port 35847 ssh2
Apr-19 04:37:57 app-1 sshd[7018]: Failed password for valid_user root from 203.81.226.86 port 36209 ssh2
